,,,,,,,,,,,,,,,,,,,,
,登録番号,氏名,コース,進入率(%),3連対率(%),1着率(%),2着率(%),3着率(%),平均ST,平均スタート順,,,,,,,,,,
,4215,吉島祥之,1,20.3%,86.2%,69.0%,6.9%,10.3%,0.13,2.50,,,,,,,,,,
,4215,吉島祥之,2,15.4%,54.5%,4.5%,22.7%,27.3%,0.16,3.70,,,,,,,,,,
,4215,吉島祥之,3,15.4%,63.6%,9.1%,27.3%,27.3%,0.16,3.50,,,,,,,,,,
,4215,吉島祥之,4,14.7%,52.4%,14.3%,14.3%,23.8%,0.13,2.40,,,,,,,,,,
,4215,吉島祥之,5,18.2%,34.6%,15.4%,11.5%,7.7%,0.15,2.90,,,,,,,,,,
,4215,吉島祥之,6,16.1%,30.4%,0.0%,8.7%,21.7%,0.19,3.90,,,,,,,,,,
,4224,大橋栄里佳,1,13.3%,80.0%,66.7%,13.3%,0.0%,0.19,3.30,,,,,,,,,,
,4224,大橋栄里佳,2,21.2%,66.7%,20.8%,20.8%,25.0%,0.18,4.10,,,,,,,,,,
,4224,大橋栄里佳,3,18.6%,57.1%,9.5%,38.1%,9.5%,0.19,3.60,,,,,,,,,,
,4224,大橋栄里佳,4,17.7%,50.0%,20.0%,0.0%,30.0%,0.19,3.70,,,,,,,,,,
,4224,大橋栄里佳,5,19.5%,31.8%,9.1%,13.6%,9.1%,0.17,3.50,,,,,,,,,,
,4224,大橋栄里佳,6,9.7%,27.3%,0.0%,18.2%,9.1%,0.21,4.50,,,,,,,,,,
,4966,田川大貴,1,15.9%,85.7%,57.1%,14.3%,14.3%,0.14,2.80,,,,,,,,,,
,4966,田川大貴,2,15.2%,55.0%,20.0%,25.0%,10.0%,0.13,2.20,,,,,,,,,,
,4966,田川大貴,3,15.2%,55.0%,15.0%,15.0%,25.0%,0.16,3.60,,,,,,,,,,
,4966,田川大貴,4,20.5%,55.6%,14.8%,18.5%,22.2%,0.15,2.90,,,,,,,,,,
,4966,田川大貴,5,17.4%,56.5%,17.4%,21.7%,17.4%,0.13,3.00,,,,,,,,,,
,4966,田川大貴,6,15.9%,14.3%,0.0%,0.0%,14.3%,0.16,3.90,,,,,,,,,,
,3993,永井聖美,1,15.7%,84.6%,61.5%,15.4%,7.7%,0.18,3.30,,,,,,,,,,
,3993,永井聖美,2,18.1%,73.3%,6.7%,33.3%,33.3%,0.18,3.70,,,,,,,,,,
,3993,永井聖美,3,19.3%,62.5%,18.8%,37.5%,6.2%,0.16,3.10,,,,,,,,,,
,3993,永井聖美,4,16.9%,42.9%,7.1%,21.4%,14.3%,0.18,4.00,,,,,,,,,,
,3993,永井聖美,5,22.9%,15.8%,5.3%,0.0%,10.5%,0.15,3.60,,,,,,,,,,
,3993,永井聖美,6,7.2%,33.3%,0.0%,16.7%,16.7%,0.17,3.40,,,,,,,,,,
,4979,中野夢斗,1,16.2%,94.1%,70.6%,17.6%,5.9%,0.15,2.60,,,,,,,,,,
,4979,中野夢斗,2,16.2%,47.1%,11.8%,23.5%,11.8%,0.17,4.50,,,,,,,,,,
,4979,中野夢斗,3,20.0%,57.1%,14.3%,19.0%,23.8%,0.15,3.20,,,,,,,,,,
,4979,中野夢斗,4,15.2%,43.8%,6.2%,18.8%,18.8%,0.15,3.60,,,,,,,,,,
,4979,中野夢斗,5,21.0%,50.0%,13.6%,22.7%,13.6%,0.17,3.30,,,,,,,,,,
,4979,中野夢斗,6,11.4%,41.7%,0.0%,16.7%,25.0%,0.19,3.60,,,,,,,,,,
,5213,湯淺紀香,1,14.3%,87.5%,75.0%,0.0%,12.5%,0.17,3.00,,,,,,,,,,
,5213,湯淺紀香,2,17.9%,60.0%,10.0%,45.0%,5.0%,0.17,3.80,,,,,,,,,,
,5213,湯淺紀香,3,16.1%,77.8%,27.8%,22.2%,27.8%,0.17,3.40,,,,,,,,,,
,5213,湯淺紀香,4,19.6%,54.5%,4.5%,31.8%,18.2%,0.18,4.00,,,,,,,,,,
,5213,湯淺紀香,5,21.4%,20.8%,4.2%,4.2%,12.5%,0.19,3.90,,,,,,,,,,
,5213,湯淺紀香,6,10.7%,16.7%,0.0%,8.3%,8.3%,0.20,4.60,,,,,,,,,,
,3484,芝田浩治,1,19.8%,82.4%,52.9%,23.5%,5.9%,0.14,2.70,,,,,,,,,,
,3484,芝田浩治,2,15.1%,69.2%,15.4%,30.8%,23.1%,0.15,3.00,,,,,,,,,,
,3484,芝田浩治,3,17.4%,66.7%,6.7%,20.0%,40.0%,0.16,3.00,,,,,,,,,,
,3484,芝田浩治,4,19.8%,58.8%,5.9%,29.4%,23.5%,0.16,3.60,,,,,,,,,,
,3484,芝田浩治,5,17.4%,20.0%,0.0%,0.0%,20.0%,0.17,3.30,,,,,,,,,,
,3484,芝田浩治,6,10.5%,33.3%,0.0%,22.2%,11.1%,0.20,5.00,,,,,,,,,,
,4473,藤堂里香,1,17.0%,81.2%,62.5%,0.0%,18.8%,0.17,3.20,,,,,,,,,,
,4473,藤堂里香,2,19.1%,77.8%,22.2%,27.8%,27.8%,0.16,2.60,,,,,,,,,,
,4473,藤堂里香,3,17.0%,56.2%,12.5%,37.5%,6.2%,0.16,3.10,,,,,,,,,,
,4473,藤堂里香,4,13.8%,53.8%,23.1%,15.4%,15.4%,0.16,3.10,,,,,,,,,,
,4473,藤堂里香,5,13.8%,30.8%,7.7%,7.7%,15.4%,0.20,3.70,,,,,,,,,,
,4473,藤堂里香,6,19.1%,16.7%,0.0%,11.1%,5.6%,0.19,3.80,,,,,,,,,,
,4485,楠原正剛,1,15.6%,84.2%,42.1%,42.1%,0.0%,0.15,2.60,,,,,,,,,,
,4485,楠原正剛,2,16.4%,75.0%,25.0%,25.0%,25.0%,0.14,3.10,,,,,,,,,,
,4485,楠原正剛,3,16.4%,55.0%,10.0%,15.0%,30.0%,0.13,2.80,,,,,,,,,,
,4485,楠原正剛,4,15.6%,52.6%,21.1%,26.3%,5.3%,0.14,3.20,,,,,,,,,,
,4485,楠原正剛,5,21.3%,46.2%,3.8%,26.9%,15.4%,0.14,2.40,,,,,,,,,,
,4485,楠原正剛,6,14.8%,16.7%,0.0%,5.6%,11.1%,0.16,3.40,,,,,,,,,,
,5050,木下雄介,1,18.1%,76.5%,52.9%,11.8%,11.8%,0.16,3.60,,,,,,,,,,
,5050,木下雄介,2,17.0%,68.8%,12.5%,31.2%,25.0%,0.16,3.40,,,,,,,,,,
,5050,木下雄介,3,10.6%,30.0%,10.0%,0.0%,20.0%,0.15,3.80,,,,,,,,,,
,5050,木下雄介,4,16.0%,53.3%,13.3%,13.3%,26.7%,0.15,2.70,,,,,,,,,,
,5050,木下雄介,5,19.1%,55.6%,16.7%,16.7%,22.2%,0.15,3.20,,,,,,,,,,
,5050,木下雄介,6,19.1%,44.4%,0.0%,22.2%,22.2%,0.17,3.90,,,,,,,,,,
,5161,登玉隼百,1,19.4%,91.7%,66.7%,12.5%,12.5%,0.13,2.60,,,,,,,,,,
,5161,登玉隼百,2,14.5%,55.6%,11.1%,27.8%,16.7%,0.15,2.90,,,,,,,,,,
,5161,登玉隼百,3,15.3%,47.4%,5.3%,31.6%,10.5%,0.14,2.80,,,,,,,,,,
,5161,登玉隼百,4,16.9%,52.4%,4.8%,23.8%,23.8%,0.13,2.40,,,,,,,,,,
,5161,登玉隼百,5,13.7%,52.9%,11.8%,29.4%,11.8%,0.13,2.40,,,,,,,,,,
,5161,登玉隼百,6,20.2%,12.0%,0.0%,8.0%,4.0%,0.13,2.70,,,,,,,,,,
,3550,都築正治,1,16.3%,75.0%,55.0%,10.0%,10.0%,0.16,3.80,,,,,,,,,,
,3550,都築正治,2,15.4%,57.9%,15.8%,26.3%,15.8%,0.16,3.30,,,,,,,,,,
,3550,都築正治,3,22.8%,53.6%,17.9%,21.4%,14.3%,0.17,3.40,,,,,,,,,,
,3550,都築正治,4,21.1%,50.0%,15.4%,11.5%,23.1%,0.17,3.00,,,,,,,,,,
,3550,都築正治,5,14.6%,38.9%,11.1%,16.7%,11.1%,0.16,2.70,,,,,,,,,,
,3550,都築正治,6,9.8%,25.0%,0.0%,16.7%,8.3%,0.17,3.30,,,,,,,,,,
,3911,鈴木猛,1,17.1%,77.3%,27.3%,31.8%,18.2%,0.17,3.50,,,,,,,,,,
,3911,鈴木猛,2,16.3%,66.7%,14.3%,38.1%,14.3%,0.21,3.50,,,,,,,,,,
,3911,鈴木猛,3,14.7%,63.2%,15.8%,31.6%,15.8%,0.14,3.00,,,,,,,,,,
,3911,鈴木猛,4,19.4%,48.0%,12.0%,24.0%,12.0%,0.15,3.40,,,,,,,,,,
,3911,鈴木猛,5,18.6%,25.0%,8.3%,8.3%,8.3%,0.16,2.60,,,,,,,,,,
,3911,鈴木猛,6,14.0%,33.3%,11.1%,5.6%,16.7%,0.15,3.20,,,,,,,,,,
,4161,黒柳浩孝,1,21.9%,73.9%,52.2%,21.7%,0.0%,0.15,2.70,,,,,,,,,,
,4161,黒柳浩孝,2,17.1%,66.7%,16.7%,22.2%,27.8%,0.17,3.90,,,,,,,,,,
,4161,黒柳浩孝,3,17.1%,61.1%,27.8%,5.6%,27.8%,0.14,2.50,,,,,,,,,,
,4161,黒柳浩孝,4,12.4%,38.5%,15.4%,7.7%,15.4%,0.17,3.20,,,,,,,,,,
,4161,黒柳浩孝,5,18.1%,26.3%,0.0%,5.3%,21.1%,0.18,4.30,,,,,,,,,,
,4161,黒柳浩孝,6,13.3%,50.0%,7.1%,14.3%,28.6%,0.18,3.50,,,,,,,,,,
,4210,松村康太,1,20.0%,76.9%,34.6%,30.8%,11.5%,0.17,3.10,,,,,,,,,,
,4210,松村康太,2,16.9%,68.2%,13.6%,27.3%,27.3%,0.19,4.30,,,,,,,,,,
,4210,松村康太,3,16.2%,47.6%,9.5%,14.3%,23.8%,0.15,3.40,,,,,,,,,,
,4210,松村康太,4,21.5%,46.4%,3.6%,17.9%,25.0%,0.17,3.60,,,,,,,,,,
,4210,松村康太,5,13.1%,47.1%,5.9%,23.5%,17.6%,0.16,3.70,,,,,,,,,,
,4210,松村康太,6,12.3%,37.5%,0.0%,12.5%,25.0%,0.19,4.20,,,,,,,,,,
,4228,吉田慎二郎,1,21.5%,82.1%,57.1%,21.4%,3.6%,0.18,3.20,,,,,,,,,,
,4228,吉田慎二郎,2,14.6%,57.9%,15.8%,15.8%,26.3%,0.23,4.20,,,,,,,,,,
,4228,吉田慎二郎,3,17.7%,60.9%,21.7%,26.1%,13.0%,0.17,3.60,,,,,,,,,,
,4228,吉田慎二郎,4,16.9%,40.9%,4.5%,13.6%,22.7%,0.16,3.40,,,,,,,,,,
,4228,吉田慎二郎,5,16.2%,33.3%,0.0%,4.8%,28.6%,0.18,3.70,,,,,,,,,,
,4228,吉田慎二郎,6,13.1%,35.3%,5.9%,5.9%,23.5%,0.18,4.40,,,,,,,,,,
,4241,大串重幸,1,20.9%,91.7%,66.7%,16.7%,8.3%,0.14,3.50,,,,,,,,,,
,4241,大串重幸,2,14.8%,35.3%,0.0%,23.5%,11.8%,0.17,3.90,,,,,,,,,,
,4241,大串重幸,3,20.0%,65.2%,13.0%,21.7%,30.4%,0.13,2.70,,,,,,,,,,
,4241,大串重幸,4,16.5%,52.6%,0.0%,21.1%,31.6%,0.16,2.70,,,,,,,,,,
,4241,大串重幸,5,13.9%,31.2%,0.0%,6.2%,25.0%,0.15,3.10,,,,,,,,,,
,4241,大串重幸,6,13.9%,25.0%,0.0%,18.8%,6.2%,0.17,4.40,,,,,,,,,,
,4402,乙藤智史,1,21.6%,87.5%,66.7%,20.8%,0.0%,0.15,3.40,,,,,,,,,,
,4402,乙藤智史,2,16.2%,50.0%,5.6%,27.8%,16.7%,0.19,3.90,,,,,,,,,,
,4402,乙藤智史,3,14.4%,87.5%,25.0%,37.5%,25.0%,0.16,3.20,,,,,,,,,,
,4402,乙藤智史,4,14.4%,56.2%,25.0%,25.0%,6.2%,0.14,2.40,,,,,,,,,,
,4402,乙藤智史,5,13.5%,40.0%,0.0%,13.3%,26.7%,0.16,3.10,,,,,,,,,,
,4402,乙藤智史,6,19.8%,18.2%,0.0%,0.0%,18.2%,0.21,4.50,,,,,,,,,,
,4411,沢田昭宏,1,19.5%,96.2%,53.8%,34.6%,7.7%,0.14,3.00,,,,,,,,,,
,4411,沢田昭宏,2,15.0%,50.0%,15.0%,25.0%,10.0%,0.19,3.70,,,,,,,,,,
,4411,沢田昭宏,3,13.5%,55.6%,27.8%,5.6%,22.2%,0.14,3.10,,,,,,,,,,
,4411,沢田昭宏,4,15.8%,47.6%,0.0%,28.6%,19.0%,0.17,3.80,,,,,,,,,,
,4411,沢田昭宏,5,18.0%,58.3%,4.2%,12.5%,41.7%,0.13,3.30,,,,,,,,,,
,4411,沢田昭宏,6,18.0%,25.0%,4.2%,4.2%,16.7%,0.18,4.70,,,,,,,,,,
,4555,富永大一,1,16.8%,76.5%,47.1%,17.6%,11.8%,0.16,3.20,,,,,,,,,,
,4555,富永大一,2,19.8%,55.0%,15.0%,15.0%,25.0%,0.21,4.30,,,,,,,,,,
,4555,富永大一,3,15.8%,68.8%,0.0%,50.0%,18.8%,0.18,3.80,,,,,,,,,,
,4555,富永大一,4,16.8%,41.2%,17.6%,17.6%,5.9%,0.17,3.80,,,,,,,,,,
,4555,富永大一,5,16.8%,35.3%,0.0%,11.8%,23.5%,0.21,3.90,,,,,,,,,,
,4555,富永大一,6,13.9%,35.7%,0.0%,7.1%,28.6%,0.20,4.70,,,,,,,,,,
,4652,酒見峻介,1,15.9%,77.8%,38.9%,22.2%,16.7%,0.18,4.20,,,,,,,,,,
,4652,酒見峻介,2,15.0%,70.6%,23.5%,35.3%,11.8%,0.15,2.50,,,,,,,,,,
,4652,酒見峻介,3,21.2%,58.3%,4.2%,29.2%,25.0%,0.13,3.00,,,,,,,,,,
,4652,酒見峻介,4,16.8%,63.2%,5.3%,21.1%,36.8%,0.15,3.30,,,,,,,,,,
,4652,酒見峻介,5,16.8%,57.9%,15.8%,15.8%,26.3%,0.16,2.90,,,,,,,,,,
,4652,酒見峻介,6,14.2%,25.0%,0.0%,0.0%,25.0%,0.20,4.30,,,,,,,,,,
,4973,栗原直也,1,17.4%,85.0%,40.0%,20.0%,25.0%,0.17,3.10,,,,,,,,,,
,4973,栗原直也,2,18.3%,57.1%,4.8%,19.0%,33.3%,0.21,4.20,,,,,,,,,,
,4973,栗原直也,3,16.5%,78.9%,15.8%,36.8%,26.3%,0.16,3.20,,,,,,,,,,
,4973,栗原直也,4,13.9%,56.2%,12.5%,18.8%,25.0%,0.19,3.20,,,,,,,,,,
,4973,栗原直也,5,17.4%,50.0%,15.0%,5.0%,30.0%,0.17,3.00,,,,,,,,,,
,4973,栗原直也,6,16.5%,15.8%,5.3%,0.0%,10.5%,0.19,4.10,,,,,,,,,,
,5243,三馬崇史,1,18.8%,66.7%,52.4%,9.5%,4.8%,0.13,2.90,,,,,,,,,,
,5243,三馬崇史,2,17.0%,52.6%,15.8%,26.3%,10.5%,0.13,2.80,,,,,,,,,,
,5243,三馬崇史,3,12.5%,57.1%,14.3%,28.6%,14.3%,0.16,2.50,,,,,,,,,,
,5243,三馬崇史,4,17.9%,55.0%,15.0%,10.0%,30.0%,0.15,3.00,,,,,,,,,,
,5243,三馬崇史,5,19.6%,40.9%,13.6%,22.7%,4.5%,0.14,3.20,,,,,,,,,,
,5243,三馬崇史,6,14.3%,31.2%,0.0%,18.8%,12.5%,0.15,3.30,,,,,,,,,,
,4469,土山卓也,1,17.4%,90.0%,60.0%,20.0%,10.0%,0.15,2.80,,,,,,,,,,
,4469,土山卓也,2,14.8%,58.8%,17.6%,11.8%,29.4%,0.16,3.50,,,,,,,,,,
,4469,土山卓也,3,16.5%,42.1%,10.5%,15.8%,15.8%,0.15,3.80,,,,,,,,,,
,4469,土山卓也,4,20.9%,33.3%,8.3%,12.5%,12.5%,0.17,3.00,,,,,,,,,,
,4469,土山卓也,5,15.7%,66.7%,16.7%,22.2%,27.8%,0.15,3.10,,,,,,,,,,
,4469,土山卓也,6,14.8%,29.4%,5.9%,0.0%,23.5%,0.16,3.90,,,,,,,,,,
,5160,藤森陸斗,1,15.8%,75.0%,43.8%,25.0%,6.2%,0.14,2.40,,,,,,,,,,
,5160,藤森陸斗,2,13.9%,64.3%,14.3%,14.3%,35.7%,0.17,3.60,,,,,,,,,,
,5160,藤森陸斗,3,20.8%,61.9%,28.6%,14.3%,19.0%,0.15,2.90,,,,,,,,,,
,5160,藤森陸斗,4,19.8%,40.0%,10.0%,15.0%,15.0%,0.16,3.70,,,,,,,,,,
,5160,藤森陸斗,5,19.8%,45.0%,5.0%,10.0%,30.0%,0.13,2.80,,,,,,,,,,
,5160,藤森陸斗,6,9.9%,40.0%,20.0%,0.0%,20.0%,0.20,3.40,,,,,,,,,,
,5231,寺田空詩,1,15.2%,78.6%,64.3%,14.3%,0.0%,0.13,2.90,,,,,,,,,,
,5231,寺田空詩,2,16.3%,86.7%,26.7%,46.7%,13.3%,0.14,2.80,,,,,,,,,,
,5231,寺田空詩,3,19.6%,44.4%,0.0%,5.6%,38.9%,0.18,3.40,,,,,,,,,,
,5231,寺田空詩,4,20.7%,47.4%,5.3%,21.1%,21.1%,0.14,2.90,,,,,,,,,,
,5231,寺田空詩,5,16.3%,40.0%,0.0%,13.3%,26.7%,0.15,2.20,,,,,,,,,,
,5231,寺田空詩,6,12.0%,27.3%,9.1%,9.1%,9.1%,0.16,3.00,,,,,,,,,,
,3517,高橋勲,1,16.3%,100.0%,57.1%,28.6%,14.3%,0.13,1.90,,,,,,,,,,
,3517,高橋勲,2,19.4%,44.0%,8.0%,24.0%,12.0%,0.16,3.00,,,,,,,,,,
,3517,高橋勲,3,21.7%,53.6%,14.3%,17.9%,21.4%,0.13,2.80,,,,,,,,,,
,3517,高橋勲,4,23.3%,40.0%,6.7%,20.0%,13.3%,0.16,2.80,,,,,,,,,,
,3517,高橋勲,5,15.5%,50.0%,5.0%,20.0%,25.0%,0.15,3.00,,,,,,,,,,
,3517,高橋勲,6,3.9%,20.0%,0.0%,0.0%,20.0%,0.16,3.80,,,,,,,,,,
,3663,木山和幸,1,15.9%,76.2%,52.4%,14.3%,9.5%,0.14,3.00,,,,,,,,,,
,3663,木山和幸,2,17.4%,60.9%,13.0%,21.7%,26.1%,0.14,3.00,,,,,,,,,,
,3663,木山和幸,3,18.2%,62.5%,4.2%,45.8%,12.5%,0.15,3.30,,,,,,,,,,
,3663,木山和幸,4,16.7%,59.1%,13.6%,18.2%,27.3%,0.17,3.70,,,,,,,,,,
,3663,木山和幸,5,16.7%,36.4%,4.5%,13.6%,18.2%,0.19,3.60,,,,,,,,,,
,3663,木山和幸,6,15.2%,40.0%,0.0%,10.0%,30.0%,0.19,3.30,,,,,,,,,,
,3848,川上聡介,1,17.7%,86.4%,50.0%,22.7%,13.6%,0.13,2.20,,,,,,,,,,
,3848,川上聡介,2,16.1%,50.0%,0.0%,30.0%,20.0%,0.15,3.00,,,,,,,,,,
,3848,川上聡介,3,12.9%,75.0%,25.0%,18.8%,31.2%,0.14,2.40,,,,,,,,,,
,3848,川上聡介,4,16.1%,50.0%,10.0%,20.0%,20.0%,0.15,3.10,,,,,,,,,,
,3848,川上聡介,5,14.5%,50.0%,22.2%,5.6%,22.2%,0.13,2.70,,,,,,,,,,
,3848,川上聡介,6,22.6%,39.3%,3.6%,3.6%,32.1%,0.13,2.70,,,,,,,,,,
,4191,赤羽克也,1,15.4%,95.0%,70.0%,25.0%,0.0%,0.16,3.00,,,,,,,,,,
,4191,赤羽克也,2,19.2%,48.0%,12.0%,24.0%,12.0%,0.17,4.00,,,,,,,,,,
,4191,赤羽克也,3,18.5%,45.8%,12.5%,16.7%,16.7%,0.17,3.70,,,,,,,,,,
,4191,赤羽克也,4,16.9%,59.1%,4.5%,22.7%,31.8%,0.18,3.30,,,,,,,,,,
,4191,赤羽克也,5,16.9%,50.0%,4.5%,22.7%,22.7%,0.16,3.50,,,,,,,,,,
,4191,赤羽克也,6,13.1%,29.4%,0.0%,17.6%,11.8%,0.19,4.30,,,,,,,,,,
,4513,河野真也,1,18.3%,75.0%,30.0%,40.0%,5.0%,0.17,3.90,,,,,,,,,,
,4513,河野真也,2,17.4%,57.9%,0.0%,42.1%,15.8%,0.18,3.70,,,,,,,,,,
,4513,河野真也,3,20.2%,59.1%,22.7%,9.1%,27.3%,0.19,3.60,,,,,,,,,,
,4513,河野真也,4,18.3%,60.0%,10.0%,25.0%,25.0%,0.16,3.80,,,,,,,,,,
,4513,河野真也,5,18.3%,30.0%,0.0%,10.0%,20.0%,0.19,3.90,,,,,,,,,,
,4513,河野真也,6,7.3%,37.5%,0.0%,0.0%,37.5%,0.26,5.10,,,,,,,,,,
,4789,古賀智之,1,14.1%,84.6%,53.8%,15.4%,15.4%,0.13,2.80,,,,,,,,,,
,4789,古賀智之,2,16.3%,66.7%,13.3%,33.3%,20.0%,0.17,3.00,,,,,,,,,,
,4789,古賀智之,3,20.7%,63.2%,15.8%,26.3%,21.1%,0.18,2.90,,,,,,,,,,
,4789,古賀智之,4,20.7%,63.2%,10.5%,15.8%,36.8%,0.17,3.40,,,,,,,,,,
,4789,古賀智之,5,17.4%,43.8%,6.2%,18.8%,18.8%,0.17,3.30,,,,,,,,,,
,4789,古賀智之,6,10.9%,10.0%,0.0%,0.0%,10.0%,0.18,3.90,,,,,,,,,,
,4936,戸敷晃美,1,18.9%,76.5%,76.5%,0.0%,0.0%,0.16,2.90,,,,,,,,,,
,4936,戸敷晃美,2,16.7%,60.0%,20.0%,13.3%,26.7%,0.15,3.10,,,,,,,,,,
,4936,戸敷晃美,3,17.8%,43.8%,12.5%,18.8%,12.5%,0.17,3.40,,,,,,,,,,
,4936,戸敷晃美,4,17.8%,50.0%,6.2%,12.5%,31.2%,0.15,2.70,,,,,,,,,,
,4936,戸敷晃美,5,11.1%,50.0%,10.0%,20.0%,20.0%,0.22,3.80,,,,,,,,,,
,4936,戸敷晃美,6,17.8%,37.5%,6.2%,12.5%,18.8%,0.21,4.20,,,,,,,,,,
,4492,本多宏和,1,22.7%,80.0%,53.3%,20.0%,6.7%,0.14,2.70,,,,,,,,,,
,4492,本多宏和,2,21.2%,78.6%,28.6%,14.3%,35.7%,0.19,3.40,,,,,,,,,,
,4492,本多宏和,3,7.6%,60.0%,20.0%,20.0%,20.0%,0.14,3.20,,,,,,,,,,
,4492,本多宏和,4,15.2%,60.0%,10.0%,10.0%,40.0%,0.17,3.60,,,,,,,,,,
,4492,本多宏和,5,15.2%,60.0%,30.0%,20.0%,10.0%,0.17,2.90,,,,,,,,,,
,4492,本多宏和,6,18.2%,25.0%,0.0%,0.0%,25.0%,0.17,3.80,,,,,,,,,,
,4499,滝川真由子,1,18.2%,91.7%,75.0%,8.3%,8.3%,0.18,4.50,,,,,,,,,,
,4499,滝川真由子,2,16.7%,45.5%,0.0%,27.3%,18.2%,0.19,4.50,,,,,,,,,,
,4499,滝川真由子,3,16.7%,90.9%,45.5%,36.4%,9.1%,0.18,3.70,,,,,,,,,,
,4499,滝川真由子,4,13.6%,55.6%,33.3%,11.1%,11.1%,0.20,3.90,,,,,,,,,,
,4499,滝川真由子,5,19.7%,23.1%,0.0%,0.0%,23.1%,0.19,4.80,,,,,,,,,,
,4499,滝川真由子,6,15.2%,20.0%,0.0%,20.0%,0.0%,0.18,3.60,,,,,,,,,,
,4065,金田幸子,1,19.2%,86.7%,66.7%,13.3%,6.7%,0.16,2.70,,,,,,,,,,
,4065,金田幸子,2,17.9%,57.1%,21.4%,28.6%,7.1%,0.19,4.10,,,,,,,,,,
,4065,金田幸子,3,14.1%,45.5%,0.0%,27.3%,18.2%,0.16,3.50,,,,,,,,,,
,4065,金田幸子,4,15.4%,66.7%,25.0%,25.0%,16.7%,0.16,3.80,,,,,,,,,,
,4065,金田幸子,5,19.2%,46.7%,6.7%,13.3%,26.7%,0.17,4.10,,,,,,,,,,
,4065,金田幸子,6,14.1%,9.1%,0.0%,0.0%,9.1%,0.17,3.60,,,,,,,,,,
,3681,山谷央,1,16.8%,76.5%,47.1%,17.6%,11.8%,0.14,2.50,,,,,,,,,,
,3681,山谷央,2,17.8%,77.8%,33.3%,27.8%,16.7%,0.18,3.40,,,,,,,,,,
,3681,山谷央,3,15.8%,43.8%,6.2%,18.8%,18.8%,0.17,3.10,,,,,,,,,,
,3681,山谷央,4,20.8%,42.9%,19.0%,19.0%,4.8%,0.12,2.60,,,,,,,,,,
,3681,山谷央,5,16.8%,41.2%,5.9%,11.8%,23.5%,0.15,2.80,,,,,,,,,,
,3681,山谷央,6,11.9%,25.0%,0.0%,8.3%,16.7%,0.14,2.90,,,,,,,,,,
,3930,岸本隆,1,19.0%,83.3%,50.0%,20.8%,12.5%,0.15,3.00,,,,,,,,,,
,3930,岸本隆,2,19.0%,62.5%,25.0%,25.0%,12.5%,0.16,2.80,,,,,,,,,,
,3930,岸本隆,3,17.5%,68.2%,13.6%,22.7%,31.8%,0.14,2.20,,,,,,,,,,
,3930,岸本隆,4,13.5%,52.9%,23.5%,17.6%,11.8%,0.13,2.60,,,,,,,,,,
,3930,岸本隆,5,18.3%,17.4%,0.0%,4.3%,13.0%,0.15,3.80,,,,,,,,,,
,3930,岸本隆,6,12.7%,12.5%,0.0%,0.0%,12.5%,0.18,3.80,,,,,,,,,,
,4529,嶋義信,1,21.6%,80.0%,56.0%,20.0%,4.0%,0.12,2.50,,,,,,,,,,
,4529,嶋義信,2,15.5%,44.4%,5.6%,11.1%,27.8%,0.17,3.90,,,,,,,,,,
,4529,嶋義信,3,15.5%,66.7%,11.1%,22.2%,33.3%,0.11,1.90,,,,,,,,,,
,4529,嶋義信,4,12.9%,53.3%,6.7%,20.0%,26.7%,0.16,2.40,,,,,,,,,,
,4529,嶋義信,5,18.1%,47.6%,0.0%,23.8%,23.8%,0.18,3.90,,,,,,,,,,
,4529,嶋義信,6,16.4%,21.1%,0.0%,5.3%,15.8%,0.18,3.80,,,,,,,,,,
,4948,木場悠介,1,17.1%,85.0%,50.0%,25.0%,10.0%,0.14,2.60,,,,,,,,,,
,4948,木場悠介,2,17.9%,71.4%,19.0%,28.6%,23.8%,0.15,3.00,,,,,,,,,,
,4948,木場悠介,3,16.2%,47.4%,0.0%,31.6%,15.8%,0.13,2.70,,,,,,,,,,
,4948,木場悠介,4,15.4%,61.1%,27.8%,22.2%,11.1%,0.13,2.60,,,,,,,,,,
,4948,木場悠介,5,17.9%,19.0%,9.5%,0.0%,9.5%,0.15,3.50,,,,,,,,,,
,4948,木場悠介,6,15.4%,33.3%,0.0%,11.1%,22.2%,0.15,3.40,,,,,,,,,,
,5279,石渡翔一郎,1,14.0%,61.5%,46.2%,7.7%,7.7%,0.17,2.90,,,,,,,,,,
,5279,石渡翔一郎,2,19.4%,66.7%,33.3%,11.1%,22.2%,0.16,3.10,,,,,,,,,,
,5279,石渡翔一郎,3,21.5%,65.0%,25.0%,10.0%,30.0%,0.16,3.10,,,,,,,,,,
,5279,石渡翔一郎,4,19.4%,44.4%,11.1%,11.1%,22.2%,0.16,3.20,,,,,,,,,,
,5279,石渡翔一郎,5,15.1%,57.1%,7.1%,28.6%,21.4%,0.14,2.00,,,,,,,,,,
,5279,石渡翔一郎,6,10.8%,10.0%,0.0%,0.0%,10.0%,0.13,4.00,,,,,,,,,,
,4506,稗田聖也,1,17.7%,76.0%,56.0%,16.0%,4.0%,0.14,2.40,,,,,,,,,,
,4506,稗田聖也,2,15.6%,68.2%,18.2%,36.4%,13.6%,0.15,3.30,,,,,,,,,,
,4506,稗田聖也,3,18.4%,53.8%,19.2%,15.4%,19.2%,0.15,3.20,,,,,,,,,,
