,,,,,,,,,,,,,,,,,,,,
,登録番号,氏名,コース,進入率(%),3連対率(%),1着率(%),2着率(%),3着率(%),平均ST,平均スタート順,,,,,,,,,,
,3849,中岡正彦 ,3,17.7%,82.6%,39.1%,17.4%,26.1%,0.14,2.60,,,,,,,,,,
,3849,中岡正彦 ,4,23.1%,83.3%,43.3%,16.7%,23.3%,0.09,1.80,,,,,,,,,,
,3849,中岡正彦 ,5,10.0%,53.8%,7.7%,38.5%,7.7%,0.12,2.60,,,,,,,,,,
,3849,中岡正彦 ,6,1.5%,50.0%,0.0%,0.0%,50.0%,0.24,5.50,,,,,,,,,,
,4686,丸野一樹 ,1,23.6%,96.6%,79.3%,10.3%,6.9%,0.14,3.80,,,,,,,,,,
,4686,丸野一樹 ,2,15.4%,63.2%,15.8%,31.6%,15.8%,0.14,4.00,,,,,,,,,,
,4686,丸野一樹 ,3,16.3%,70.0%,30.0%,25.0%,15.0%,0.15,3.40,,,,,,,,,,
,4686,丸野一樹 ,4,15.4%,52.6%,15.8%,26.3%,10.5%,0.13,3.30,,,,,,,,,,
,4686,丸野一樹 ,5,12.2%,66.7%,13.3%,13.3%,40.0%,0.17,3.60,,,,,,,,,,
,4686,丸野一樹 ,6,17.1%,42.9%,4.8%,4.8%,33.3%,0.14,3.20,,,,,,,,,,
,4342,谷野錬志 ,1,21.2%,96.4%,85.7%,7.1%,3.6%,0.13,2.90,,,,,,,,,,
,4342,谷野錬志 ,2,16.7%,90.9%,31.8%,45.5%,13.6%,0.14,2.50,,,,,,,,,,
,4342,谷野錬志 ,3,18.2%,87.5%,37.5%,33.3%,16.7%,0.12,2.70,,,,,,,,,,
,4342,谷野錬志 ,4,15.2%,75.0%,20.0%,45.0%,10.0%,0.12,1.90,,,,,,,,,,
,4342,谷野錬志 ,5,15.9%,61.9%,4.8%,28.6%,28.6%,0.15,3.10,,,,,,,,,,
,4342,谷野錬志 ,6,12.9%,70.6%,0.0%,41.2%,29.4%,0.17,3.60,,,,,,,,,,
,4448,青木玄太 ,1,20.9%,91.7%,62.5%,16.7%,12.5%,0.16,3.20,,,,,,,,,,
,4448,青木玄太 ,2,16.5%,73.7%,26.3%,31.6%,15.8%,0.17,4.10,,,,,,,,,,
,4448,青木玄太 ,3,17.4%,90.0%,40.0%,30.0%,20.0%,0.15,3.10,,,,,,,,,,
,4448,青木玄太 ,4,12.2%,92.9%,35.7%,28.6%,28.6%,0.15,2.90,,,,,,,,,,
,4448,青木玄太 ,5,20.9%,62.5%,12.5%,33.3%,16.7%,0.19,3.20,,,,,,,,,,
,4448,青木玄太 ,6,12.2%,92.9%,0.0%,35.7%,57.1%,0.17,4.10,,,,,,,,,,
,4590,渡邉優美 ,1,26.8%,100.0%,73.5%,17.6%,8.8%,0.14,3.30,,,,,,,,,,
,4590,渡邉優美 ,2,17.3%,86.4%,22.7%,31.8%,31.8%,0.17,3.50,,,,,,,,,,
,4590,渡邉優美 ,3,12.6%,81.2%,31.2%,37.5%,12.5%,0.17,3.40,,,,,,,,,,
,4590,渡邉優美 ,4,17.3%,59.1%,9.1%,22.7%,27.3%,0.15,3.10,,,,,,,,,,
,4590,渡邉優美 ,5,14.2%,72.2%,27.8%,22.2%,22.2%,0.17,3.20,,,,,,,,,,
,4590,渡邉優美 ,6,11.8%,53.3%,6.7%,13.3%,33.3%,0.19,4.50,,,,,,,,,,
,4262,馬場貴也 ,1,23.0%,89.7%,82.8%,6.9%,0.0%,0.13,2.80,,,,,,,,,,
