,,,,,,,,,,,,,,,,,,,,,
,日付,レース,枠番,登録番号,全国勝率,全国2連,全国3連,当地勝率,当地2連,当地3連,モーター2連,モーター3連,コース1_平均着順,コース2_平均着順,コース3_平均着順,コース4_平均着順,コース5_平均着順,コース6_平均着順,展示タイム,着順,3連単払戻金
,20260214,9,2,5036,5.02,37.76,44.9,3.93,21.43,28.57,46.15,63.91,4.0,2.0,4.0,6.0,2.5,1.0,6.69,2,"¥1,770"
,20260214,9,3,5254,4.09,20.69,39.66,3.88,12.5,37.5,42.05,53.41,1.0,5.0,6.0,1.0,4.0,5.0,6.82,4,"¥1,770"
,20260214,9,4,4049,6.14,36.11,61.11,5.18,40.91,40.91,38.76,54.49,1.0,4.5,2.5,4.0,6.0,,6.85,5,"¥1,770"
,20260214,9,5,4463,5.52,35.65,54.78,6.03,43.33,63.33,29.31,43.68,2.0,4.0,3.5,4.0,3.0,6.0,6.76,6,"¥1,770"
,20260214,9,6,4596,6.3,44.55,68.32,6.36,36.36,81.82,23.75,39.38,2.0,2.5,6.0,6.0,6.0,4.0,6.85,3,"¥1,770"
,20260214,10,1,4155,6.09,43.02,59.3,5.11,33.33,55.56,40.23,53.45,1.0,1.5,3.0,1.0,4.0,5.0,6.77,2,"¥2,430"
,20260214,10,2,4256,6.42,41.94,58.06,6.52,44.0,60.0,29.89,40.23,1.0,,4.0,1.0,2.0,2.0,6.77,1,"¥2,430"
,20260214,10,3,4556,6.81,52.17,71.01,8.3,80.0,100.0,31.07,51.41,1.0,3.0,3.5,2.0,3.0,2.0,6.77,3,"¥2,430"
,20260214,10,4,5095,5.78,33.77,61.04,5.1,25.0,55.0,38.98,58.76,1.0,2.0,3.0,3.0,,3.0,6.78,6,"¥2,430"
,20260214,10,5,4052,6.43,45.61,61.4,5.5,33.33,50.0,27.65,51.18,1.5,3.0,2.0,3.0,2.0,6.0,6.82,4,"¥2,430"
,20260214,10,6,3562,5.8,42.55,58.51,6.2,40.0,60.0,32.53,48.8,1.0,6.0,1.0,3.0,3.0,6.0,6.77,5,"¥2,430"
,20260214,11,1,4063,6.12,43.41,60.47,6.93,53.57,71.43,32.16,51.46,1.0,1.5,2.0,2.5,4.0,2.0,6.73,1,¥790
,20260214,11,2,3737,6.84,46.32,63.16,6.84,52.63,73.68,26.59,43.35,1.0,2.0,5.0,3.0,1.0,4.5,6.78,4,¥790
,20260214,11,3,4772,6.54,48.48,68.69,6.28,44.44,66.67,38.76,52.25,1.0,2.0,4.0,1.0,3.0,5.0,6.76,2,¥790
